dataset,scope,method,detector_conf,imgsz,overlap_threshold,precision,recall,slot_f1,false_free_rate,flicker_rate_per_slot_minute,steady_state_fps,notes
NDISPark,30-image night validation,YOLOv8n detector PR sweep,,1280,,0.8895,0.6775,,,,,detector mAP50=0.8057 and mAP50-95=0.4150 on 725 manual boxes
PKLot,27-image development,B0,0.025,1280,,0.9916,0.9353,0.9626,0.0647,,,1505 known slot labels
PKLot,27-image development,B1,0.025,1280,0.40,0.9808,0.9472,0.9637,0.0528,,,1505 known slot labels
Grand Bassin,positive-only continuous stability,B0,0.025,1280,,1.0000,0.5858,0.7388,0.4142,8.6041,30.37,793 frames and 7 continuously occupied bus bays
Grand Bassin,positive-only continuous stability,B1,0.025,1280,0.40,1.0000,0.6251,0.7693,0.3749,9.1922,32.71,precision is not informative because there are no negative labels
Grand Bassin,positive-only continuous stability,Proposed,0.025,1280,0.40,1.0000,0.8236,0.9033,0.1764,1.2852,21.06,ByteTrack IDs attached while retaining unmatched YOLO detections
