detector,method_id,component,pipeline,prediction_field,scope_type,scope_id,samples,frames,truth_occupied,truth_vacant,tp,tn,fp,fn,macro_f1,occupied_precision,occupied_recall,occupied_f1,vacant_precision,vacant_recall,vacant_f1,accuracy,balanced_accuracy,false_free_rate,false_occupied_rate,occupied_count_mae,occupied_count_rmse,occupied_count_mean_signed_error
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro33,336,16,32,304,0,301,3,32,0.47252747252747246,0.0,0.0,0.0,0.9039039039039038,0.9901315789473685,0.9450549450549449,0.8958333333333334,0.49506578947368424,1.0,0.009868421052631578,1.8125,1.8540496217739157,-1.8125
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro34,546,26,44,502,1,494,8,43,0.4943250948844135,0.1111111111111111,0.022727272727272728,0.03773584905660377,0.9199255121042831,0.9840637450199203,0.9509143407122232,0.9065934065934066,0.5033955088735965,0.9772727272727273,0.01593625498007968,1.4230769230769231,1.7209121016305458,-1.3461538461538463
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro36,42,2,3,39,2,38,1,1,0.8205128205128205,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9523809523809523,0.8205128205128205,0.3333333333333333,0.02564102564102564,0.0,0.0,0.0
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro4,609,29,32,577,1,562,15,31,0.5011752136752137,0.0625,0.03125,0.041666666666666664,0.9477234401349073,0.9740034662045061,0.9606837606837607,0.9244663382594417,0.502626733102253,0.96875,0.025996533795493933,0.5517241379310345,0.7427813527082074,-0.5517241379310345
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro46,630,30,38,592,4,590,2,34,0.5761064593301435,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.9455128205128205,0.9966216216216216,0.9703947368421052,0.9428571428571428,0.5509423897581792,0.8947368421052632,0.0033783783783783786,1.0666666666666667,1.1547005383792515,-1.0666666666666667
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro5,693,33,61,632,16,632,0,45,0.6906035141329259,1.0,0.26229508196721313,0.41558441558441556,0.9335302806499262,1.0,0.9656226126814362,0.935064935064935,0.6311475409836066,0.7377049180327869,0.0,1.3636363636363635,2.195035721390843,-1.3636363636363635
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro8,420,20,48,372,18,372,0,30,0.7533474277660324,1.0,0.375,0.5454545454545454,0.9253731343283582,1.0,0.9612403100775194,0.9285714285714286,0.6875,0.625,0.0,1.5,1.70293863659264,-1.5
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro9,693,33,61,632,9,619,13,52,0.5834912944178865,0.4090909090909091,0.14754098360655737,0.21686746987951805,0.9225037257824144,0.9794303797468354,0.9501151189562549,0.9062049062049062,0.5634856816766964,0.8524590163934426,0.020569620253164556,1.1818181818181819,1.7837651700316894,-1.1818181818181819
D1,QV2-0,R0,B1,detector_occupied,slot,slot_00,376,376,4,372,0,372,0,4,0.49732620320855614,0.0,0.0,0.0,0.9893617021276596,1.0,0.9946524064171123,0.9893617021276596,0.5,1.0,0.0,0.010638297872340425,0.10314212462587934,-0.010638297872340425
D1,QV2-0,R0,B1,detector_occupied,slot,slot_01,376,376,13,363,13,363,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
D1,QV2-0,R0,B1,detector_occupied,slot,slot_02,376,376,54,322,34,322,0,20,0.8713033953997809,1.0,0.6296296296296297,0.7727272727272727,0.9415204678362573,1.0,0.9698795180722891,0.9468085106382979,0.8148148148148149,0.37037037037037035,0.0,0.05319148936170213,0.23063280200722128,-0.05319148936170213
D1,QV2-0,R0,B1,detector_occupied,slot,slot_03,376,376,52,324,0,324,0,52,0.46285714285714286,0.0,0.0,0.0,0.8617021276595744,1.0,0.9257142857142857,0.8617021276595744,0.5,1.0,0.0,0.13829787234042554,0.371884218998905,-0.13829787234042554
D1,QV2-0,R0,B1,detector_occupied,slot,slot_04,376,376,48,328,0,328,0,48,0.46590909090909094,0.0,0.0,0.0,0.8723404255319149,1.0,0.9318181818181819,0.8723404255319149,0.5,1.0,0.0,0.1276595744680851,0.3572948005052482,-0.1276595744680851
D1,QV2-0,R0,B1,detector_occupied,slot,slot_05,376,376,44,332,0,332,0,44,0.4689265536723164,0.0,0.0,0.0,0.8829787234042553,1.0,0.9378531073446328,0.8829787234042553,0.5,1.0,0.0,0.11702127659574468,0.3420837274641176,-0.11702127659574468
D1,QV2-0,R0,B1,detector_occupied,slot,slot_06,376,376,62,314,0,314,0,62,0.45507246376811594,0.0,0.0,0.0,0.8351063829787234,1.0,0.9101449275362319,0.8351063829787234,0.5,1.0,0.0,0.16489361702127658,0.40607095072324073,-0.16489361702127658
